#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 01 23 07 40  70 10.0 13.0   3.9    MM   8.5 338 1020.2  23.5  23.8  20.6   MM   MM    MM
2021 01 23 07 30  70 11.0 13.0    MM    MM    MM  MM 1020.1  23.5  23.8  20.7   MM   MM    MM
2021 01 23 07 20  70 10.0 13.0    MM    MM    MM  MM 1020.1  23.4  23.8  20.6   MM   MM    MM
2021 01 23 07 10  70 10.0 12.0    MM    MM    MM  MM 1020.0  23.5  23.8  20.6   MM   MM    MM
2021 01 23 07 00  80 10.0 13.0    MM    MM    MM  MM 1020.0  23.5  23.8  20.2   MM +0.5    MM
2021 01 23 06 50  80 10.0 13.0   3.8    19   8.4 336 1019.9  23.5  23.8  20.3   MM   MM    MM
2021 01 23 06 40  80 10.0 12.0   3.8    MM   8.4 336 1019.9  23.5  23.8  20.4   MM   MM    MM
2021 01 23 06 30  80 10.0 13.0    MM    MM    MM  MM 1019.9  23.9  23.8  20.0   MM   MM    MM
2021 01 23 06 20  80 10.0 14.0    MM    MM    MM  MM 1019.9  23.9  23.8  20.0   MM   MM    MM
2021 01 23 06 10  80 10.0 13.0    MM    MM    MM  MM 1019.9  23.8  23.8  20.0   MM   MM    MM
2021 01 23 06 00  80 10.0 13.0    MM    MM    MM  MM 1019.7  23.8  23.8  20.0   MM +0.7    MM
2021 01 23 05 50  80 11.0 13.0   3.6    19   8.4 327 1019.6  24.0  23.8  20.0   MM   MM    MM
2021 01 23 05 40  80 11.0 13.0   3.6    MM   8.4 327 1019.6  23.9  23.8  19.7   MM   MM    MM
2021 01 23 05 30  80  9.0 12.0    MM    MM    MM  MM 1019.7  23.9  23.8  20.0   MM   MM    MM
2021 01 23 05 20  80  9.0 12.0    MM    MM    MM  MM 1019.7  23.7  23.8  19.6   MM   MM    MM
2021 01 23 05 10  80  9.0 11.0    MM    MM    MM  MM 1019.7  23.6  23.8  19.6   MM   MM    MM
2021 01 23 05 00  80  9.0 11.0    MM    MM    MM  MM 1019.5  23.7  23.8  19.5   MM +0.8    MM
2021 01 23 04 50  80 10.0 12.0   3.4    21   8.4 348 1019.6  23.7  23.8  19.2   MM   MM    MM
2021 01 23 04 40  80 10.0 13.0   3.4    MM   8.4 348 1019.5  23.7  23.8  19.4   MM   MM    MM
2021 01 23 04 30  70  8.0 10.0    MM    MM    MM  MM 1019.4  23.1  23.8  19.7   MM   MM    MM
2021 01 23 04 20  60  7.0  9.0    MM    MM    MM  MM 1019.4  23.2  23.8  20.0   MM   MM    MM
